Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MMV,KION INDIA PVT LTD,0,2,0,0,0,0,0,0,0,0
3W,KIRAN AUTOMOBILE INDUSTRY,0,0,0,0,0,0,0,10,81,77
3W,KIRTI SOLAR LTD,0,8,44,287,266,304,391,101,19,7
LMV,KISAN AGRO INDUSTRIES,2,1,0,0,0,0,0,0,0,0
2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,1175,3487,4173,1889
3W,KLB KOMAKI PVT LTD,0,0,0,77,80,47,34,9,4,192
LMV,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,KNIGHT QUEEN INDUSTRIES PV LTD,8,15,1,0,0,0,0,0,0,0
3W,KNIGHT QUEEN INDUSTRIES PVT LTD,0,3,10,4,0,0,0,0,0,0
3W,KPT INDUSTRIES LTD,0,0,0,14,3,3,4,9,11,3
3W,KPT MOTORS,0,0,0,0,0,0,0,15,81,26
3W,KRANTI AUTOMOBILES LIMITED,0,0,9,0,0,0,0,0,0,0
3W,KRANTI AUTOMOBILES LTD,0,0,0,1,21,27,5,3,0,0
3W,KRANTI INTERNATIONAL,0,0,0,10,6,0,0,0,0,0
3W,KRISHI ENGINEERING WORKS,0,0,0,1,0,0,0,0,0,0
3W,KRISHNA ENGINEERING,0,5,6,0,0,0,0,0,0,0
3W,KRISHNA ENGINEERING WORKS,0,8,168,394,419,220,530,684,904,748
LMV,KRISHNA ENGINEERING WORKS,0,0,0,2,0,0,0,0,0,0
3W,KRISHNA INDUSTRIES,0,0,1,0,28,39,37,41,5,0
3W,KRISHNA VEHICALS,0,0,0,125,127,40,25,162,335,91
2W,KRT MOTORS PVT LTD,1,0,0,0,0,0,0,0,0,0
LMV,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,1,0,0,0,0,0,0,0,0,0
3W,KUKU AUTOMOTIVES,39,190,421,348,307,207,203,338,569,189
LMV,KUKU AUTOMOTIVES,0,0,0,0,0,0,0,0,1,0
3W,KUMAR ENGINEERING,0,0,0,0,0,0,314,1317,2469,1100
3W,KUMAR MOTORS PVT LTD,0,1,3,0,0,0,0,0,0,0
3W,KUMARAN ENGINEERING ENTERPRISES,0,0,0,0,0,0,0,0,244,15
2W,KYTE ENERGY PVT. LTD.,0,0,0,0,0,0,0,18,540,218
3W,L & T CASE EQUIPMENT PVT LTD,0,0,1,0,0,0,0,0,0,0
LMV,LAKSHMI AGRO INDUSTRIES,6,1,1,0,0,0,0,0,0,0
3W,LAKSHMI AUTO TRADERS,0,0,0,0,0,0,0,0,15,0
3W,LAKSHYA AUTO SALES CORPORATION,0,0,0,0,24,14,33,85,240,168
3W,LAKSHYA MOTORS,0,0,0,0,13,0,3,9,0,10
3W,LALA G E RICKSHAW AND SPARE PARTS,0,0,0,0,0,0,0,0,0,45
3W,LAUNCHER MATERIAL HANDLING INDUSTRIES,0,0,0,2,2,0,0,0,0,0
3W,LAWAT MOTORS,0,0,60,0,1,1,0,0,1,0
3W,LAWAT MOTORS LLP,0,0,0,144,302,153,301,396,358,264
LMV,LAWAT MOTORS LLP,0,0,0,0,1,0,0,0,0,0
3W,LAXMI E-RICKSHAW COMPANY,0,0,0,16,35,11,18,7,0,0
2W,LECTRIX EV PVT LTD,0,0,0,0,0,0,0,2350,6203,2661
3W,LECTRIX EV PVT LTD,0,0,0,0,0,7,876,4646,7288,3785
LMV,LECTRIX EV PVT LTD,0,0,0,0,0,0,0,0,4,1
3W,LEOPAN MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,0,13,4
2W,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,0,0,0,0,0,40,5,0,5,0
2W,LIMA VEHICLE GROUP(IMPORTER: ROUTE & MARS EV LLP),0,0,0,0,0,0,0,0,0,2
3W,LIONIZE AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,0,194
LMV,LIUGONG INDIA PVT. LTD,0,0,0,0,1,0,0,9,0,0
MMV,LIUGONG INDIA PVT. LTD,0,0,0,1,0,0,0,0,0,0
2W,LML LIMITED,0,0,10,0,0,0,0,0,0,0
3W,LML LIMITED,0,22,38,3,0,0,0,0,0,0
LMV,LMV LTD,2,0,1,0,0,0,0,0,0,0
3W,LOCAL TRAILER MANUFACTURER,0,0,0,0,0,0,0,0,11,0
LMV,LOCAL TRAILER MANUFACTURER,0,0,0,0,0,0,1,0,0,0
2W,LOG 9 MATERIALS SCIENTIFIC PVT LTD,0,0,0,0,0,0,21,0,0,0
2W,LOHIA AUTO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,LOHIA AUTO INDUSTRIES,5,133,184,666,714,377,511,1523,1644,770
LMV,LOHIA AUTO INDUSTRIES,0,0,0,5,0,0,0,0,0,0
3W,LOHIA AUTO INDUSTRIES LTD.,0,400,420,165,94,54,30,185,20,0
3W,LORDS VEHICLE MFG PVT LTD,0,0,0,0,0,3,65,114,186,50
3W,LOTEY AGRO INDUSTRY,0,441,4,3,0,0,0,0,0,0
3W,LOTIA  MOTORS  LTD,0,0,8,1,0,0,0,0,0,0
3W,LUCKY INDUSTRIES,0,0,0,0,0,0,0,0,38,88
3W,M G INDUSTRIES,0,0,0,11,65,41,5,64,145,53
LMV,M G INDUSTRIES,0,0,0,0,1,0,0,0,0,0
3W,M K BROTHERS,0,0,0,0,1,2,0,0,2,12
3W,M K ENTERPRISES,0,210,169,16,1,0,0,0,0,0
LMV,M.G.P ENGINEERING WORKS,0,2,0,0,0,0,0,0,0,0
3W,M.K. ENTERPRISES,0,131,408,487,210,194,305,477,1097,657
LMV,M.K. ENTERPRISES,0,0,0,0,0,0,1,0,0,0
3W,M/S CHAMPION POLY PLAST,877,3089,386,66,0,2,0,0,0,0
LMV,M/S CHAMPION POLY PLAST,0,2,2,11,0,0,0,0,0,0
3W,M/S HOVEL CYLINDER PVT LTD,0,84,420,45,0,0,0,0,0,0
LMV,M/S HOVEL CYLINDER PVT LTD,0,0,11,1,0,0,0,0,0,0
3W,M/S JASRAJ AUTO AGENCY,0,0,0,0,0,0,0,17,0,0
LMV,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",0,0,0,0,0,0,0,0,0,1
3W,M/S SHRIRAM AUTO TECH PVT LTD,0,626,2227,2250,1614,692,787,2205,3637,1852
LMV,M/S SHRIRAM AUTO TECH PVT LTD,0,0,1,18,1,0,0,0,0,0
3W,M/S SRISHTI AUTOMOBILES,0,0,3,0,0,0,0,2,0,0
3W,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",0,0,1,0,0,0,0,0,0,0
3W,M/S TRISHIKA INDUSTRIES,0,0,0,0,0,0,3,0,0,0
2W,M/S UNITY MOTOR BODY,0,0,0,0,0,1,0,0,0,0
2W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,0,0,0,0,0,0,3,0,0
3W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,0,0,0,0,0,0,8,7,35
LMV,M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,0,0,0,0,0,0,0,0,3
3W,M/S. DAVE EXIM (P) LTD.,0,0,28,0,1,0,0,0,0,0
2W,M2GO ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,19,38,4,2,0
3W,M2J E VAHAN PVT LTD,0,0,0,0,17,54,105,50,0,8
3W,MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,0,0,0,0,0,0,0,0,0,11
3W,MAA KALPANA ENTERPRISE,0,0,0,0,0,0,11,17,153,230
2W,MAA LUXMI E-VEHICLES PVT. LTD.,0,0,0,0,0,0,0,18,4,0
3W,MAA SHAKTI EXIM PVT LTD,23,982,1196,2033,1988,881,1804,2865,2571,1373
LMV,MAA SHAKTI EXIM PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,MAC AUTO INDIA,0,0,147,431,537,248,289,469,564,401
LMV,MAC AUTO INDIA,0,0,0,1,0,0,0,0,0,0
2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,1,27
2W,MAC INTERNATIONAL (IMPORTER:HONESTY),0,0,0,0,0,0,0,0,1,1
3W,MACNEILL ENGG LTD,0,0,2,0,0,0,0,0,0,0
LMV,MACNEILL ENGG LTD,2,2,0,0,0,0,6,0,0,0
LMV,MACNEILL ENGINEERING LIMITED,0,0,0,0,0,0,0,1,2,0
LMV,MAHALINGA ENGG. INDUSTRIES  ,3,0,0,0,0,0,0,0,0,0
2W,MAHARASTRA SCOOTER LIMITED,1,0,0,0,0,0,0,0,0,0
3W,MAHI ENTERPRISES,0,0,0,22,32,8,13,80,60,1
LMV,MAHI ENTERPRISES,0,0,0,1,0,0,0,0,0,0
2W,MAHINDRA & MAHINDRA LIMITED,4,1,0,1,0,0,0,0,0,0
3W,MAHINDRA & MAHINDRA LIMITED,2,35,242,4150,6725,4564,3860,13558,37942,1331
LMV,MAHINDRA & MAHINDRA LIMITED,254,344,443,974,687,419,115,333,4505,4305
LMV,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),0,1,0,1,0,0,0,0,0,0
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,33,3,0,0,0,0,0,0
2W,MAHINDRA ELECTRIC MOBILITY LIMITED,0,0,0,1,0,0,0,0,0,0
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,0,0,51,35,1786,3219,6711,15931,4949,57
LMV,MAHINDRA ELECTRIC MOBILITY LIMITED,462,306,499,461,99,35,82,66,56,1
3W,MAHINDRA GUJARAT TRACTOR LIMITED,0,1,0,0,0,0,0,0,0,0
3W,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,0,11733,34331
LMV,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,0,40,430
3W,MAHINDRA NAVISTAR  AUTOMOTIVES LTD,0,0,19,6,0,0,0,0,0,0
3W,MAHINDRA NISSAN ALLWYN LTD.,0,3,0,0,0,0,0,0,0,0
LMV,MAHINDRA RENAULT PVT.LTD.,2,0,0,1,0,0,0,0,0,0
2W,MAHINDRA TWO WHEELERS LTD,5,14,0,0,0,0,0,0,0,0
LMV,MAHINDRA TWO WHEELERS LTD,0,0,2,0,0,0,0,0,0,0
LMV,MAHINDRA VEHICLE MANUFACTURER LIMITED,1,0,0,0,0,0,0,0,0,0
3W,MAHTAB BODY MAKER,0,0,0,0,0,0,7,186,778,590
3W,MALAK TECHNO PVT LTD,0,0,0,0,0,0,0,0,52,50
3W,MALHOTRA  VEHICLE MANUFACTURING PVT LTD,0,0,35,47,6,0,0,0,0,0
3W,MALI ENTERPRISES PVT LTD,0,0,0,107,499,103,84,133,10,2
3W,MAN TRUCKS INDIA PVT. LTD.,0,0,14,0,0,0,0,0,0,0
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,0,0,0,16,52,19,0,0,299,766
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,0,0,0,0,0,0,28,173,433,195
3W,MANITA CITY MOTORS LLP,0,0,0,8,167,162,396,854,1810,1280
LMV,MANITA CITY MOTORS LLP,0,0,0,0,0,1,0,0,0,0
3W,MANMOHAN KAUR,0,0,0,0,54,25,6,39,64,65
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,0,0,0,0,0,4,2,14,4,0
3W,MARKUS,0,0,0,0,0,0,0,2,27,35
2W,MARUTHISAN PVT LTD,0,0,0,0,0,0,0,84,147,90
LMV,MARUTI SUZUKI INDIA LTD,8,11,8,2,1,0,0,0,0,0
2W,MAULIRAJ INDUSTRIES LLP,0,0,0,0,0,0,0,0,1,1
3W,MAXI CAB,1,0,0,0,0,0,0,0,0,0
3W,"MAYUR ENTERPRISES,BARIPADA",0,0,3,0,15,1,0,0,0,0
2W,MECPOWER MOBILITY PVT. LTD.,0,0,0,0,0,0,0,0,128,154
LMV,MEGHA TRAILERS,1,0,0,0,0,0,0,0,0,0
LMV,MERCEDES -BENZ AG,0,0,0,0,0,10,26,60,322,316
LMV,MERCEDES-BENZ INDIA PVT LTD,0,0,0,0,0,0,0,94,193,112
2W,MEW ELECTRICALS LIMITED,0,0,0,0,0,57,1842,3215,195,6
3W,MG MOTOR INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0
LMV,MG MOTOR INDIA PVT LTD,0,0,0,0,7,772,2384,3430,9520,7229
2W,MICROAUTOTECH PVT. LTD.,0,0,0,0,0,0,0,0,2,2
2W,MICROCON I2I PVT LTD,0,0,0,0,0,0,94,0,0,0
3W,MILLENNIAL MOTORS LLP,0,0,0,0,0,0,0,0,7,10
3W,MINI METRO,6,681,1695,148,87,94,221,362,97,0
2W,MINI METRO EV L.L.P,0,0,0,0,0,0,0,1,0,0
3W,MINI METRO EV L.L.P,0,125,599,2513,2265,1754,3447,10487,15962,7092
LMV,MINI METRO EV L.L.P,0,0,0,1,0,2,0,1,1,0
2W,MIRAKLE 5 AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,18,102,12
3W,MITHU BAJRANG ENG.WORKS,0,0,1,0,0,0,0,0,0,0
3W,MLR AUTO LTD,0,0,0,0,0,5,35,23,70,143
LMV,MLR AUTO LTD,0,0,0,0,0,0,0,0,0,13
2W,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),0,0,0,0,0,0,0,0,19,30
3W,MOHAN GENERAL TRADING COMPANY,0,0,0,17,56,77,39,26,43,31
3W,MOMU AUTOMOTIVE,0,0,0,0,0,0,0,0,0,210
3W,MONDAL TRADING,0,0,0,0,0,61,68,2,77,38
3W,MOTOR & GENERAL SALES LTD.,0,0,3,0,0,0,0,0,0,0
3W,MOTOR & GENERAL SALES PVT LTD,0,0,0,102,33,1,0,0,0,0
LMV,MOTOR & GENERAL SALES PVT LTD,0,0,0,0,1,0,0,0,0,0
LMV,MOTOROYALE KINETIC PRIVATE LIMITED,0,0,0,0,0,0,0,8,0,0
2W,MOTOVOLT MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,14
3W,MOTRAC MOTORS PVT LTD,0,0,0,128,132,100,111,23,0,0
3W,MOVE STONE SERVICES PVT LTD,0,0,0,0,0,0,0,825,2965,2297
LMV,MSI INDUSTRIES,2,0,0,0,0,0,0,0,0,0
3W,MULTI DIMENSIONAL SOLUTIONS,0,0,0,5,18,7,10,10,0,0
3W,MUNDE MECHANICAL WORKS,0,0,17,0,0,0,0,0,0,0
LMV,MUTHUR AGRO ENGINEERING WORKS,1,0,0,0,0,0,0,0,0,0
3W,MVM MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,5
3W,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,291,232,100,288,1723,4925,2796
3W,NABH MOTORS PVT LTD,0,29,79,86,48,6,5,12,0,0
3W,NAMAH INDUSTRIES PVT LTD,0,0,0,6,91,38,9,4,5,153
3W,NAND ELECTRIC MOTOR VEHICLE PVT LTD,0,0,6,13,30,0,0,0,3,0
3W,NANNHRAY AGIRCULTURE WORKS,0,0,31,6,0,0,0,0,0,0
3W,NANYA AIRCONN PVT LTD,0,0,14,7,1,0,0,0,0,0
3W,NARAINDASS AND SONS,0,0,0,34,12,1,0,0,4,11
3W,NB TURNED  COMPONENTS PVT LTD,0,0,31,29,13,0,2,0,0,0
LMV,NB TURNED  COMPONENTS PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,NBC ENGINEERING PVT LTD,0,0,0,0,0,0,0,4,0,0
2W,NDS ECO MOTORS PVT LTD,0,0,0,48,648,146,96,28,7,2
3W,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,42,516,573,267,148,354,542,667,357
LMV,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,10,17,5,0,0,0,0,0,0
3W,NEELAM AGRO EQUIP,0,0,0,1,0,0,0,0,0,0
3W,NEELAM CYCLE,0,0,0,0,0,0,0,8,42,21
3W,NEUON MOTORS LLP,0,0,0,0,0,0,0,0,45,54
3W,NEW ARCANA INDIA,9,125,224,361,732,316,602,1331,1253,502
3W,NEW CHAWLA INDUSTRIES,0,0,0,0,0,0,0,0,0,67
3W,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,0,0,8,3,0,0,0,0,0,0
LMV,NEW MARTHWADA QUALITY TRAILOR,0,0,0,1,0,0,0,0,0,0
3W,NEWTON INDIA INDUSTRIES PVT LTD,0,0,0,0,0,0,12,9,5,0
2W,NEXZU MOBILITY PVT LTD,0,0,0,0,370,96,16,0,0,0
3W,NEXZU MOBILITY PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,NGAGE IMPEX PVT LTD,0,0,0,0,0,0,1,0,0,0
3W,NGAGE WHEEL PVT LTD,0,0,0,0,38,21,7,8,40,10
3W,NHD MOTORS,0,0,0,125,161,179,265,289,326,202
3W,NIBE MOTORS PVT LTD,0,0,0,0,15,4,1,19,19,0
2W,NIC TEST ACCOUNT-1,0,3,6,10,0,0,0,0,0,0
3W,NIC TEST ACCOUNT-1,51,891,2889,568,2,0,0,0,0,0
LMV,NIC TEST ACCOUNT-1,0,3,369,0,0,0,0,0,0,0
3W,NICOLAS INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,NIKHIL FURNITURES,0,1,76,205,31,7,0,0,0,0
2W,NINGBO SANJIANG (IMPORTER: VABRO EVTECH),0,0,0,0,0,0,0,0,0,28
3W,NIPUN SANYANTRA PVT LTD,0,0,0,1,17,11,290,569,439,138
3W,NIRMAL UTILITY SERVICES PVT LTD,0,0,2,128,158,48,43,77,22,7
2W,NISIKI TECHNOLOGIES PVT LTD,0,0,0,0,0,0,12,167,164,23
3W,NISSAN MOTOR INDIA PVT LTD,0,408,2,0,0,0,0,0,0,0
LMV,NISSAN MOTOR INDIA PVT LTD,0,2,4,0,1,0,0,3,0,0
3W,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,102,468,295,760,1563,2650,2110
2W,NUMEROS MOTORS PVT LTD,0,0,0,0,0,0,0,335,473,150
2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,50,217
3W,OCULUS AUTO INDUSTRIES LLP,0,0,0,0,0,0,0,0,2,3
2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,4,81,313,210,39
3W,OGATA MOTORS INDIA PVT LTD,0,0,0,0,87,207,168,160,157,47
3W,OK PLAY INDIA LTD,0,9,336,468,130,64,6,63,125,81
LMV,OK PLAY INDIA LTD,0,0,0,0,7,0,0,0,0,0
2W,OKA MOTOR COMPANY LTD.,0,0,0,2,0,0,0,0,0,0
2W,OKAYA EV PVT LTD,0,0,0,0,0,0,0,8913,15816,4387
2W,OKINAWA AUTOTECH PVT LTD,0,1,331,8452,11850,5754,30659,103620,31616,3893
3W,OKINAWA AUTOTECH PVT LTD,0,0,0,0,0,3,0,0,1,0
LMV,OKINAWA AUTOTECH PVT LTD,0,0,0,1,1,0,0,0,0,0
2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,0,0,0,0,0,0,240,109398,267355,211273
LMV,OLECTRA GREENTECH LTD,0,0,0,0,0,0,1,0,0,0
MMV,OLECTRA GREENTECH LTD,0,0,0,1,11,7,0,3,12,0
3W,OLYMPUS INDUSTRIES PVT LTD,0,0,0,3,51,5,10,0,0,0
MMV,OLYMPUS INDUSTRIES PVT LTD,0,0,0,1,0,0,0,0,0,0
2W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,0,0,1,0,0,0
3W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,389,1079,1701,1610,672,1448,2930,3304,1461
3W,OM BALAJI AUTOMOBILES I P LTD,0,340,241,145,83,54,24,16,9,0
3W,OM INDUSTRIES,0,0,0,35,12,1,0,0,44,768
3W,OM PACKAGING,0,0,0,4,29,13,6,15,0,0
3W,OM RAJ AUTOTECH LLP,0,0,0,27,388,345,795,1167,1203,550
3W,OM. INDUSTRIES,0,0,0,0,5,3,4,1,0,0
3W,OMEGA SALES & AGRO INDUSTRIES,0,0,0,0,0,3,12,102,283,188
3W,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,317,2785,3579,4592
LMV,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,32,146,102,61
2W,OMJAY EV LIMITED,0,0,0,0,0,0,0,172,67,13
2W,ORIGINAL FUEL SYSTEM PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,ORIGINAL FUEL SYSTEM PVT LTD,0,0,15,22,0,0,0,0,0,0
2W,OTHERS,110,136,382,1929,1576,933,8541,15099,195,4
3W,OTHERS,1708,13401,15094,1687,312,199,777,2165,1435,174
LMV,OTHERS,40,66,581,560,269,13,162,431,40,84
MMV,OTHERS,0,1,0,2,0,0,0,0,1,1
2W,OZOTEC AUTOMOBILE PRIVATE LIMITED,0,0,0,0,0,0,0,93,351,56
3W,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,0,0,4,19,13,2,21,23,11,0
3W,PACE AGRO PRIVATE LIMITED,0,0,11,138,234,115,66,46,41,11
LMV,PACE AGRO PRIVATE LIMITED,0,0,0,1,0,0,0,0,0,0
3W,PACE AGRO PVT LTD,0,0,29,44,3,0,0,0,0,0
3W,PAL DIESAL PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,PANSEN ENGINEERING INDIA PVT LTD,0,0,0,0,41,57,47,0,0,0
3W,PANTHER ELECTRIC VEHICLES,0,0,0,0,0,2,33,66,77,23
3W,PARAG AGRO,0,0,2,0,0,0,0,0,0,0
3W,PARAS INDUSTRIES,0,0,1,0,0,6,317,1120,3246,1822
LMV,PARAS INDUSTRIES,0,0,0,0,0,0,0,0,1,0
3W,PARI E-VEHICLES,0,6,62,210,246,156,160,484,572,265
3W,PARI METRO E RICKSHAW,0,0,0,219,286,138,301,706,904,514
3W,PARVEEN AUTO,0,0,0,0,285,63,181,1,65,24
3W,PASHUPATI NATH MOTORS PVT LTD,0,0,1,14,12,2,0,0,0,0
3W,PASHUPATI VEHICLE PVT. LTD.,0,1,2,3,20,1,0,0,0,0
3W,PASHUPATI VEHICLES PVT LTD,0,0,13,17,29,15,2,1,0,0
3W,PATS MOTOR CORP,0,1,18,9,44,59,28,24,21,6
LMV,PCA AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,1950,916
2W,PIAGGIO VEHICLES PVT LTD,3,7,4,0,0,0,0,0,0,0
3W,PIAGGIO VEHICLES PVT LTD,5,4,3,11,1,79,2247,7431,21079,12869
LMV,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,19,3,10,8
3W,PILLING RIG,0,0,0,0,0,0,1,0,0,0
LMV,PINNACLE MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,0,22,27
3W,PLAUDIT TECHNO INDIA PVT LTD,0,0,271,503,504,255,206,34,18,360
LMV,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,0,0,0,0,1,0,0,0,0,0
MMV,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,0,0,0,0,0,2,1,0,0,5
LMV,PONMALAR TRAILERS,1,0,2,0,0,0,0,0,0,0
3W,POOSHPAK AUTOMOBILES PVT LTD,0,0,0,0,0,0,2,1,65,249
2W,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),0,0,0,0,0,0,0,23,214,89
3W,PORSCHE AG,0,0,1,0,0,0,0,0,0,0
LMV,PORSCHE AG GERMANY,0,0,0,0,0,0,0,60,96,54
2W,PORWAL ELECTRIC,0,0,0,0,0,0,0,0,0,5
LMV,POWERLAND AGRO TRACTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,9
3W,PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,0,0,0,35,23,15,30,40,101,30
3W,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,0,0,0,0,0,0,0,6,8,9
3W,PRAG MOTORS,0,0,0,5,0,10,2,47,206,94
3W,PRAGYA AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,33,79
3W,PRAJAPATI ENG. WORKS,0,0,1,0,0,0,0,0,0,0
3W,PRAJJWAL MAHAJAN TRADERS,0,0,0,0,0,0,0,0,13,99
3W,PRAKASH ENTERPRISES,0,0,0,2,19,30,48,46,65,65
3W,PREET TRACTORS PVT. LTD.,0,0,10,0,0,0,0,0,0,0
3W,PREMIER LTD,0,0,1,0,0,0,0,0,0,0
3W,PRESTANTIA CREATIONS PVT LTD,0,0,18,23,9,13,21,0,6,11
3W,PRIDE E-MOTORS,0,0,0,0,0,0,16,321,500,220
3W,PRIMA PVT LTD,0,0,0,0,2,0,0,0,0,0
3W,PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,40,99
3W,PUBANG ETRON ELECTRIC MOTOR PVT LTD,0,0,38,1013,2606,1354,457,120,16,12
3W,PUNEET OVERSEAS  INC,0,0,0,0,0,5,13,15,0,0
3W,PUNJAB BODY BUILDERS,0,0,0,0,0,0,0,0,22,37
LMV,PUNJAB TRACTORS LIMITED,0,1,0,0,0,0,0,0,0,0
2W,PUR ENERGY PVT LTD,0,0,0,0,0,720,11044,14953,7191,3143
3W,PURVA UDYOG PVT LTD,0,0,0,0,1,0,13,35,23,8
3W,PUSHKAR INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,PYTHOX MOTORS PVT LTD,0,0,0,0,14,23,45,125,338,462
2W,QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),0,0,0,0,0,0,0,0,81,28
2W,QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),0,0,0,0,0,0,0,0,10,21
2W,QUANTUM ENERGY LTD.,0,0,0,0,0,0,0,25,2371,3178
LMV,QUANTUM ENERGY LTD.,0,0,0,0,0,0,0,0,2,0
LMV,R.N.A.I.P.LTD,1,0,0,0,0,0,0,0,0,0
3W,R3 ENTERPRISES,0,0,0,0,77,229,96,170,501,276
3W,RAAJ AUTOMOTIVE,0,0,1,0,0,0,0,0,0,0
3W,RACCOON MOTORS PVT LTD,0,0,0,0,0,7,35,20,18,9
3W,RACHANACREATIONS AUTO PVT LTD,0,0,0,0,0,0,0,0,0,10
3W,RAFTAAR ELECTRIC GREEN VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,12
3W,RAHUL AGRO EXPORTS PVT LTD,0,0,77,90,140,77,18,37,124,42
2W,RAJ AUTOMOTIVE,0,0,0,0,1,0,0,0,0,0
3W,RAJ AUTOMOTIVE,0,0,9,18,11,22,26,101,99,52
3W,RAJA ARTS HITECH ENGINEERING,0,0,0,0,0,0,0,0,1,0
3W,RAJESH STEEL AND WIRE INDUSTRIES,0,0,18,148,135,57,32,30,8,2
LMV,RAJESH STEEL AND WIRE INDUSTRIES,0,0,0,1,0,0,0,0,0,0
3W,RAJIV RAJ VEHICLES PVT LTD,0,0,1,46,28,35,17,0,0,0
3W,RAJKAMAL MOTORS LTD,0,0,1,0,0,0,0,0,0,0
3W,RAM JANKI ENG. WORK,0,0,4,0,0,0,0,0,0,0
3W,RAMA INDUSTRIES,0,0,0,0,0,0,0,0,4,18
3W,RAMON INDUSTRIES,0,0,0,133,238,63,54,71,114,45
3W,RANA ENGINEER WORKS,0,0,0,0,0,0,5,35,575,564
3W,RASANDIK ENGINEERING,0,0,6,0,0,0,0,0,0,0
3W,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,0,0,13,129,58,10,10,47,152,150
3W,RASANDIK MOTORS PVT LTD,0,0,12,2,0,0,0,0,0,0
3W,RASIWASIA RASAYAN PVT LTD,0,0,60,22,19,2,1,10,2,4
LMV,RATHNA ENGINEERING COMPANY,2,1,0,0,0,0,0,0,0,0
3W,RAVI METAL WORKS,0,0,0,0,0,0,0,0,20,452
